Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
11720,0,0,0,0,0,0,0,0,2,1,6,5,1,2,3,1,1,0,0,0,0,0,0,0
13181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18990,0,0,0,0,0,0,0,0,0,5,4,1,11,153,28,6,2,8,0,0,0,0,0,0
18992,0,0,0,0,0,0,0,0,1,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0
18995,0,0,0,0,0,0,1,3,7,6,1,16,16,5,10,4,0,0,0,0,0,0,0,0
18996,0,0,0,0,0,0,0,2,3,12,7,0,8,12,0,15,6,0,0,0,0,0,0,0
18997,0,0,0,0,0,2,0,33,42,20,15,20,13,4,2,3,1,1,0,0,0,0,0,0
18999,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20480,0,0,0,0,0,0,0,5,8,2,1,7,3,0,2,0,0,0,0,0,1,0,0,0
20481,0,0,0,0,0,0,5,12,9,10,24,3,6,13,6,7,0,0,0,0,0,0,0,0
16028,0,0,0,0,0,0,0,4,3,21,3,4,4,1,4,1,0,0,0,0,0,0,0,0
13194,0,0,0,0,0,0,0,5,146,22,91,79,1,14,21,12,4,0,0,0,0,0,0,0
16029,0,0,0,0,0,0,0,0,0,0,4,0,1,10,4,4,3,0,0,0,0,0,0,0
20485,0,0,0,0,0,0,0,0,6,0,0,0,3,0,1,1,5,3,3,1,0,0,0,0
13197,0,0,0,0,0,0,0,0,1,5,1,12,4,2,2,0,17,9,9,0,2,0,0,0
16030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16035,0,0,0,5,0,4,0,7,29,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0
20495,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15316,0,0,0,0,0,0,0,6,9,7,4,1,4,1,3,1,0,0,0,0,0,0,0,0
15318,0,0,0,0,0,0,24,21,17,22,21,3,11,19,9,0,0,0,0,0,0,0,0,0
15327,0,0,0,0,0,1,3,1,4,2,4,2,0,1,1,4,0,0,0,0,0,0,0,0
