Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
11720,0,0,0,0,0,0,1,16,22,20,30,12,18,39,36,46,23,0,0,0,0,0,0,0
13181,0,0,0,0,0,0,0,3,17,6,2,0,0,0,1,0,1,0,0,0,0,0,0,0
20475,0,0,0,0,8,20,45,207,878,1125,1174,726,491,1026,920,1070,506,149,27,18,188,105,22,3
20477,0,0,0,1,11,33,22,32,18,49,11,18,15,9,15,3,11,6,0,2,2,4,0,0
18990,0,0,0,0,0,2,2,30,93,346,720,516,296,476,414,426,579,403,152,8,54,2,4,6
18992,0,0,0,0,0,3,1,7,20,22,51,20,5,23,11,19,12,3,35,0,0,0,0,0
18995,3,0,0,0,0,0,10,125,63,48,73,88,73,95,125,60,7,3,0,0,5,11,1,4
18996,0,0,0,0,0,3,4,202,406,385,580,588,347,385,398,343,346,34,2,0,0,0,0,0
18997,0,0,0,0,6,10,2,153,250,215,132,138,88,148,170,109,102,33,13,1,3,8,9,0
18999,0,0,0,0,0,0,1,31,9,7,11,9,9,3,29,37,1,5,0,0,0,0,0,0
20480,0,0,0,0,0,1,0,65,67,58,45,34,24,21,90,60,121,0,0,3,5,0,0,3
20481,0,0,0,0,0,0,216,398,480,574,320,158,318,347,495,269,18,7,19,16,7,6,0,0
16028,0,0,0,0,0,0,2,59,88,129,65,40,78,58,86,88,63,13,2,9,3,0,1,0
13194,0,0,0,0,0,0,67,833,893,1004,1250,1131,602,1004,1152,966,421,75,0,0,0,0,0,0
16029,0,0,0,0,3,0,2,6,94,379,963,39,163,891,737,408,831,141,4,4,0,0,0,0
20485,0,0,0,0,0,1,0,6,34,53,55,59,146,118,49,119,86,147,78,63,44,4,0,0
13197,0,7,0,0,0,6,6,13,18,109,83,104,122,89,65,102,127,113,87,20,9,12,7,0
16030,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,0,0,0,1,0,4,5
16035,0,0,1,22,41,28,10,62,67,24,28,35,22,0,0,0,2,1,0,0,0,0,0,0
20495,0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,9,4,16,1,2,2,0,0,0
20499,0,0,0,0,0,12,2,2,23,5,13,35,38,73,24,13,6,16,10,35,3,0,7,0
15316,0,0,0,0,0,1,4,128,95,114,89,32,93,62,72,78,82,2,0,2,11,30,0,0
15318,0,0,0,0,0,6,698,429,476,455,407,99,436,423,262,1,0,0,0,0,0,0,0,0
15327,0,0,0,1,0,17,107,86,124,127,156,77,68,75,76,81,17,2,2,0,0,0,0,0
16057,0,0,0,0,0,31,51,14,0,3,37,6,36,32,14,1,0,0,1,0,1,5,0,0
14602,0,0,0,0,0,0,89,513,526,691,853,466,618,899,1024,1172,476,49,35,68,19,17,2,0
15333,0,0,8,4,0,65,93,149,90,80,100,122,81,71,51,15,28,3,0,0,0,0,0,0
15334,0,0,0,0,0,0,15,319,419,796,713,249,253,378,293,447,91,38,16,14,5,1,0,0
